"Term ID","Term Name","Term Slug","Term Permalink",Description,"Parent ID","Parent Name","Parent Slug"
33,Animals,animals,https://pankeke.dreamhosters.com/experience-tags/animals/,,0,,
35,Art,art,https://pankeke.dreamhosters.com/experience-tags/art/,,0,,
36,Baking,baking,https://pankeke.dreamhosters.com/experience-tags/baking/,,0,,
45,Cooking,cooking,https://pankeke.dreamhosters.com/experience-tags/cooking/,,0,,
48,Design,design,https://pankeke.dreamhosters.com/experience-tags/design/,,0,,
49,Drinks,drinks,https://pankeke.dreamhosters.com/experience-tags/drinks/,,0,,
51,Entertainment,entertainment,https://pankeke.dreamhosters.com/experience-tags/entertainment/,,0,,
56,Fitness,fitness,https://pankeke.dreamhosters.com/experience-tags/fitness/,,0,,
61,"History &amp; Culture",history-culture,https://pankeke.dreamhosters.com/experience-tags/history-culture/,,0,,
71,Music,music,https://pankeke.dreamhosters.com/experience-tags/music/,,0,,
72,Nature,nature,https://pankeke.dreamhosters.com/experience-tags/nature/,,0,,
94,Wellness,wellness,https://pankeke.dreamhosters.com/experience-tags/wellness/,,0,,
132,Yoga,yoga,https://pankeke.dreamhosters.com/experience-tags/yoga/,,0,,
152,TAGGG,taggg,https://pankeke.dreamhosters.com/experience-tags/taggg/,,0,,
